id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
03PBYsfRrgtEeqenfnSQHh,????????€??????????????????????????? - Instrumental,6,193533,0,['?????????????????? ??????????????????????????????'],['5A06yKTdJBBGxahuRWK9DL'],1/1/1990,1990,0.64,0.422,9,-11.198,0,0.0316,0.45,0.962,0.325,0.394,90.355,4
03rXgpnSovwMUYk1QT2K4p,Viens m'embrasser (Abr??zame),26,210960,0,['Julio Iglesias'],['4etuCZVdP8yiNPn4xf0ie5'],14/5/1990,1990,0.306,0.187,7,-17.177,0,0.0546,0.652,3.34E-06,0.0904,0.0711,88.2,4
03StC3a18DP7jePXd2NLBX,Icha,31,318440,0,['Syran Mbenza'],['5mAdywAEm96qSCaIZPcKjx'],15/2/1990,1990,0.785,0.629,7,-12.797,1,0.0613,0.502,0.535,0.108,0.935,134.156,4
03syHHpsD6bOiuErq2fhqq,Es por Tu Amor,22,252331,0,['Modestia Aparte'],['6yPTzaskdKAAlLMdnw9IkM'],22/3/1990,1990,0.561,0.752,7,-11.839,1,0.0392,0.103,0.000416,0.0864,0.963,164.332,4
03uE32XbmH60ip1mJjrFxx,?????????? ?????????? ??????,5,162133,0,['T-Slam'],['637YqXbq1jC0izmq0ebWSX'],1/6/1990,1990,0.637,0.581,9,-5.835,0,0.0291,0.0717,2.66E-06,0.153,0.578,132.252,4
03uh7j2ufst9P2wxsNOXDE,Main Course,21,294427,0,['Freddie Jackson'],['2yaixhgm3yXxjhJAH8SZy3'],29/10/1990,1990,0.726,0.6,8,-11.782,0,0.0296,0.338,1.58E-05,0.26,0.843,93.469,4
03VDQREgbuV7hfsjUWjEzD,Hirschbichlalm Boarischer,17,183053,0,['Zillertaler Sch??rzenj??ger'],['1Co7VCKyS0KXwn3SiKXykR'],27/11/1990,1990,0.574,0.894,5,-8.908,1,0.068,0.206,0.0233,0.823,0.904,106.017,4
03Wdy6lLQ3SwnSSyr0AO8i,Mbabula,23,279360,0,['Koffi Olomide'],['7e14Bh8oZXNRmZxjhhTARb'],1/1/1990,1990,0.75,0.664,2,-12.226,1,0.0507,0.156,0.301,0.0851,0.896,104.972,4
03WubbVy9II968AoVMw18W,Quiero Servirte Se??or,26,168813,0,['??scar Medina'],['3NUe53SAgcR19GtgfSKTpW'],1/8/1990,1990,0.616,0.46,4,-7.406,1,0.0252,0.538,0,0.108,0.383,107.746,4
03ZFlIdZj0LNeO2wtnbscY,That's Where I Belong,34,170960,0,['The Notting Hillbillies'],['1dqalNipWI6wAnatpwQtWu'],1/1/1990,1990,0.634,0.253,2,-19.845,1,0.0294,0.117,0.00847,0.188,0.745,98.711,3
041N5pEFrF7gun4YOPUWfJ,Creo Que Voy a Llorar,55,193400,0,['Los Temerarios'],['3YbOSxo85kla7RID8ugnW3'],1/6/1990,1990,0.496,0.364,0,-13.686,1,0.0265,0.31,0.00117,0.105,0.326,78.793,4
042IDVFhMhTbxB3DOmEVIU,Patrizia,19,196812,0,['Eugenio Finardi'],['4G7VHqcVjuXBTVsTkAfhZZ'],10/10/1990,1990,0.777,0.619,7,-9.444,1,0.028,0.543,2.71E-05,0.0764,0.667,106.034,4
04aKChClEUxFBCdOG1rNCC,Black Boys on Mopeds,37,232933,0,"[""Sin??ad O'Connor""]",['4sD9znwiVFx9cgRPZ42aQ1'],1/7/1990,1990,0.54,0.0945,4,-14.574,1,0.0314,0.855,0,0.195,0.202,103.533,3
04C6TEI8hOvXHbqVfjZ9Dq,Zwart Wit,21,576893,0,['Frank Boeijen Groep'],['1HoWbJFK5RdH4OAtpoxbgR'],14/9/1990,1990,0.365,0.646,0,-13.303,1,0.0414,0.174,0.0368,0.693,0.344,128.076,4
04eu9hSCerUzrVj1oOdDR4,Temple Of Lust,12,421533,0,['Backstreet Girls'],['4kmChp6OaS0xAvpxWetEg4'],1/1/1990,1990,0.381,0.763,9,-11.363,0,0.0356,0.000403,0.0612,0.0908,0.464,138.871,4
04JgsCA4GGfrWEndXxVLEQ,Lei av deg,16,178293,0,['Jokke & Valentinerne'],['5aYJ42REfDblMI9xc2c3qQ'],1/1/1990,1990,0.242,0.87,2,-11.734,1,0.0443,0.00223,0,0.323,0.455,172.015,4
04LSfJLj21bS7hqAP66PJ1,Psychotrope,20,217307,0,['Niagara'],['4oJ3WVkGXRBtRC0YaqMKxU'],1/1/1990,1990,0.735,0.764,7,-8.358,1,0.0461,0.445,1.02E-05,0.157,0.933,112.048,4
04MMycLvZKpWBm1U19GcEW,Ce N-As Da,6,144562,0,"['Dan Ciotoi', 'Generic']","['4KKWPAUUkcouh7xKjhLyLt', '5TeWLQz0aXuOFGBEJ5JGiS']",10/10/1990,1990,0.691,0.586,2,-11.803,0,0.169,0.741,0.528,0.35,0.856,178.973,4
04NTgfyFFx8FRm0vZszMF7,Gonna Fly Now,46,289747,0,['Rocky Orchestra'],['5Strpt0ddlNJdlzloGjVQT'],14/4/1990,1990,0.594,0.798,9,-7.061,0,0.0295,0.2,0.586,0.383,0.72,94.045,4
04oUrratJbKFI7t78idldF,Judas,30,265533,0,['Yngwie Malmsteen'],['5DpSoH5zCXNRqYai7pmcGG'],1/1/1990,1990,0.635,0.732,8,-12.206,1,0.0388,0.0167,1.84E-05,0.126,0.662,116.639,4
04tLY7yjsUGOI9ClCGoKSK,???????????€???????????????,9,209613,0,['Bird Thongchai'],['1UYjFeWiTTiOfDRYvUmJul'],16/7/1990,1990,0.733,0.513,0,-7.166,1,0.0334,0.222,0.00322,0.142,0.961,119.761,4
04uDyDCgkmQB2vVt2GeWyb,Dinlemelisin Beni,20,220960,0,['Ajda Pekkan'],['27XMnTLvCO7t3qGlQyTMkF'],14/2/1990,1990,0.631,0.674,6,-11.948,0,0.0336,0.169,1.33E-06,0.366,0.808,75.09,4
04UWtAIMwi67MG8uHwYqgK,Joey,62,248960,0,['Concrete Blonde'],['2ICSjfBpos9PxMhGhX25N2'],16/9/1990,1990,0.607,0.788,7,-5.326,1,0.0293,0.0151,0.0136,0.173,0.334,118.696,4
04WQ3TpY60HOeksfmihUhe,Tonight I Celebrate My Love for You,6,266867,0,['?????????????????? ??????????????????????????????'],['5A06yKTdJBBGxahuRWK9DL'],1/1/1990,1990,0.652,0.312,3,-10.599,1,0.0286,0.792,0.00249,0.142,0.188,135.353,4
04Y73q3zXDebqufO2lENtS,Tere Pyar Mein Hum Doob Gaye,16,519493,0,"['S. P. Balasubrahmanyam', 'S. Janaki']","['2ae6PxICSOZHvjqiCcgon8', '5Xpg6PBSUOoho2lI9qLjiu']",30/11/1990,1990,0.541,0.945,11,-9.214,1,0.0838,0.56,0.027,0.0697,0.579,113.979,4
054N9X4B9HPx3QUo3B6lFW,Sk??lla Till Tv??,18,101600,0,['Mora Tr??sk'],['4brCOY5t3EebZpmZGsZ7JC'],1/9/1990,1990,0.614,0.437,2,-8.671,1,0.468,0.39,0,0.146,0.867,178.474,3
056ZZxbKGneoT6u4vlkMDX,Snakes Of Christ,37,274000,1,['Danzig'],['34c4iQ5tkaZKu6Sv28BTde'],1/1/1990,1990,0.581,0.809,2,-9.67,1,0.0397,0.00304,6.77E-05,0.3,0.19,127.991,4
05AW0o01NVyzWn52uM9boY,Three Days,38,648507,0,"[""Jane's Addiction""]",['02NfyD6AlLA12crYzw5YcR'],21/8/1990,1990,0.286,0.837,9,-8.711,1,0.083,0.00445,0.0859,0.116,0.315,106.711,4
05cAh3NZObdYhkn9DnZqMC,Harry,40,197267,0,['CC Cowboys'],['1FKCRRhfazT8IjGqy9QT1X'],19/4/1990,1990,0.539,0.881,9,-5.366,1,0.0339,0.0611,0,0.264,0.853,132.014,4
05CfvXFk8iDBJpxYHi8Kpq,Somos Novios,41,154920,0,['Armando Manzanero'],['5lODCkFdEtpPn3YxfmyLfT'],8/8/1990,1990,0.349,0.311,4,-15.21,0,0.0366,0.556,0,0.412,0.324,95.226,4
05dNlFAtdVezgSnnxfSfMB,A?? eil??fu ung,12,217014,0,['Bubbi Morthens'],['0MtTfq27LQu7CmE5t308Up'],1/1/1990,1990,0.593,0.905,8,-7.784,1,0.0403,0.0896,0.00619,0.262,0.865,125.779,4
